	Name	A Produle Systems Pvt Ltd	Locations	Coimbatore	Experience	2 - 4 years	Keywords / Skills	reactjs, javascript, html, css, web apps, user interface, ux, web programming, software developer, mobile developer, android, nodejs, angularjs, meteorjs	Education	B.E/B.Tech, M.E/M.Tech/MS Stream � Computers � Computers Function IT	Role	Software Engineer/ Programmer Industry IT/ Computers - Software Salary 5.00 - 10.00 lacs	Posted On	9th Mar 2015	Job Ref code	JAPPDEV		NULL	NULL	NULL
	Name	Acquia	Locations	Delhi, Noida	Experience	2 - 5 years	Keywords / Skills	"Drupal Developer", "drupal", "PHP" Function IT	Role	Software Engineer/ Programmer Industry � IT/ Computers - Software � Dotcom	Posted On	17th Apr 2015		NULL	NULL	NULL	NULL	NULL	NULL	NULL
	Name	Acquia	Locations	Delhi, Gurgaon	Experience	2 - 6 years	Keywords / Skills	"testing", "quality analyst", "web testing", "manual testing", "jira", "bugzilla" Function IT	Role	Software Test Engineer Industry � IT/ Computers - Software � Dotcom Salary 3.00 - 8.00 lacs	Posted On	13th Apr 2015		NULL	NULL	NULL	NULL	NULL	NULL	NULL
	Name	Acredify	Locations	Chandigarh	Nationality	India	Experience	0 - 2 years	Keywords / Skills	Recruiter for US staffing, HR Recruiter, US IT Staffing,	Education	Any graduate, B.A, B.B.A, BCA, B.Com, B.E/B.Tech, B.Ed, B.Sc, M.A, MBA, M.Com, PGDCA, PG Diploma, Stream � Any � Communication Function � Customer Service/ Call Centre/ BPO � Human Resources	Role	� Trainee/ Management Trainee � Customer Service Executive (Voice) � Graduate Trainee / Management Trainee � HR Executive / Recruiter Industry ITES/BPO Salary 1.60 - 3.00 lacs	Posted On	17th Apr 2015		NULL	NULL	NULL
	Name	Acute HR Consultancy	Locations	Pune	Experience	0 - 5 years	Keywords / Skills	Excellent English communication, knowledge of MS office and Internet	Education	Any graduate Stream Any Function Customer Service/ Call Centre/ BPO	Role	� Technical Support Executive ( voice) � Technical Support Representative (Non- voice) � Customer Service Executive (Voice) � Customer Service Executive (Non-voice) Industry ITES/BPO Salary 1.80 - 2.50 lacs	Posted On	22nd Apr 2015		NULL	NULL	NULL	NULL	NULL
	Name	Acute HR Consultancy	Locations	Pune	Nationality	India	Experience	1 - 6 years	Keywords / Skills	client relation, Corporate communication	Education	MBA Function � Marketing & Communications � Sales/ Business Development	Role	� Corp Communications - Manager/ Executive � Head - Corp Communications Industry � Banking/ Financial Services � Real Estate � Dotcom	Posted On	13th Apr 2015	Job Ref code	20		NULL
	Name	Adasoft India Private Limited	Locations	Gurgaon	Experience	2 - 3 years	Keywords / Skills	Unit Testing, System Testing and Integration Testing	Education	B.E/B.Tech, MCA Stream � Computers � Computers Function IT	Role	Trainee Industry IT/ Computers - Software	Posted On	28th Apr 2015	Job Ref code	STE- 4/2015		NULL	NULL	NULL
	Name	Adeptech Systems India Private Limited	Locations	Bengaluru / Bangalore, Hyderabad / Secunderabad	Experience	6 - 12 years	Keywords / Skills	"java", "core java", "corejava", "webservices", "webservice", "web services", "hibernate" Function IT	Role	Software Engineer/ Programmer Industry IT/ Computers - Software	Posted On	28th Apr 2015	Job Ref code	Java28042015		NULL	NULL	NULL	NULL	NULL
	Name	Adeptech Systems India Private Limited	Locations	Bengaluru / Bangalore, Hyderabad / Secunderabad	Experience	5 - 8 years	Keywords / Skills	"QA Tester", "QA Testing", "Tester", "Testing", "Selenium", "Manual Tester", "Manual Testing" Function IT	Role	� Software Engineer/ Programmer � Software Test Engineer Industry IT/ Computers - Software	Posted On	24th Apr 2015	Job Ref code	QA24042015		NULL	NULL	NULL	NULL	NULL
	Name	Adeptech Systems India Private Limited	Locations	Hyderabad / Secunderabad	Experience	7 - 10 years	Keywords / Skills	"java", "core java", "j2ee", "webservices", "web services", "webservice", "web service", "corejava", "hibernate" Function IT	Role	Software Engineer/ Programmer Industry IT/ Computers - Software	Posted On	24th Apr 2015	Job Ref code	JAVA24042015		NULL	NULL	NULL	NULL	NULL
	Name	Adeptech Systems India Private Limited	Locations	Bengaluru / Bangalore	Experience	10 - 15 years	Keywords / Skills	"database developer", "db2 developer", "data base developer", "db 2 developer" Function IT	Role	� Software Engineer/ Programmer � Team Leader/ Technical Leader Industry IT/ Computers - Software	Posted On	17th Apr 2015	Job Ref code	DB19022015		NULL	NULL	NULL	NULL	NULL
	Name	Adeptech Systems India Private Limited	Locations	Bengaluru / Bangalore, Hyderabad / Secunderabad	Experience	7 - 10 years	Keywords / Skills	"java", "webservices", "webservice", "web services", "web service", "corejava", "core java" Function IT	Role	� Software Engineer/ Programmer � Systems Engineer Industry IT/ Computers - Software	Posted On	14th Apr 2015	Job Ref code	JAVA10042015		NULL	NULL	NULL	NULL	NULL
	Name	Adeptech Systems India Private Limited	Locations	Hyderabad / Secunderabad	Experience	2 - 4 years	Keywords / Skills	"night shift recruiter", "nightshift recruiting", "nightshift recruiter", "bench sales", "benchsales", "usit staffing", "us it staffing" Function Human Resources	Role	HR Executive / Recruiter Industry IT/ Computers - Software	Posted On	14th Apr 2015	Job Ref code	USIT300415		NULL	NULL	NULL	NULL	NULL
	Name	Adeptech Systems India Private Limited	Locations	Bengaluru / Bangalore, Hyderabad / Secunderabad	Experience	5 - 9 years	Keywords / Skills	"QA tester", "QA testing", "QA", "Tester", "Testing", "Selenium", "Manual tester", "Manual testing" Function IT	Role	� Software Engineer/ Programmer � Software Test Engineer Industry IT/ Computers - Software	Posted On	3rd Apr 2015	Job Ref code	QA3132015		NULL	NULL	NULL	NULL	NULL
	Name	Adeptech Systems India Private Limited	Locations	Bengaluru / Bangalore, Hyderabad / Secunderabad	Experience	5 - 9 years	Keywords / Skills	"qa analyst", "test", "tester", "testing", "manual", "selenium" Function IT	Role	� Software Engineer/ Programmer � Systems Engineer � Software Test Engineer Industry IT/ Computers - Software	Posted On	18th Mar 2015	Job Ref code	QA1832015		NULL	NULL	NULL	NULL	NULL
	Name	Adeptech Systems India Private Limited	Locations	Hyderabad / Secunderabad	Experience	10 - 15 years	Keywords / Skills	"business analyst", "businessanalyst" Function IT	Role	Business Analyst Industry IT/ Computers - Software	Posted On	18th Mar 2015	Job Ref code	BA1832015		NULL	NULL	NULL	NULL	NULL
	Name	Adeptech Systems India Private Limited	Locations	Hyderabad / Secunderabad	Experience	2 - 5 years	Keywords / Skills	"usit recruiter", "usit recruiting", "usit staffing", "us it recruiter", "us it recruiting", "us it staffing", "bench sales", "benchsales" Function Human Resources	Role	HR Executive / Recruiter Industry � ITES/BPO � IT/ Computers - Software	Posted On	17th Mar 2015	Job Ref code	USIT1232015		NULL	NULL	NULL	NULL	NULL
	Name	Adeptech Systems India Private Limited	Locations	Bengaluru / Bangalore, Hyderabad / Secunderabad	Experience	5 - 9 years	Keywords / Skills	"qa analyst", "qaanalyst", "manual testing", "manual tester", "manual test", "manualtesting", "manualtester", "selenium", "selenium test", "selenium tester", "selenium testing" Function IT	Role	� Software Engineer/ Programmer � Systems Engineer � System Analyst/ Tech Architect � Software Test Engineer Industry IT/ Computers - Software	Posted On	12th Mar 2015	Job Ref code	QA1232015		NULL	NULL	NULL	NULL	NULL
	Name	Adeptech Systems India Private Limited	Locations	Hyderabad / Secunderabad	Experience	2 - 4 years	Keywords / Skills	"usit recruiter", "usit recruiting", "usit satffing", "us it staffing", "us it recruiting", "us it recruiter", "it recruiter", "hr executive", "it recruiting" Function Human Resources	Role	HR Executive / Recruiter Industry � ITES/BPO � IT/ Computers - Software	Posted On	6th Mar 2015	Job Ref code	USIT632015		NULL	NULL	NULL	NULL	NULL
	Name	Aditech IT & Consultancy Services Private Limited	Locations	Chennai	Experience	4 - 8 years	Keywords / Skills	DBA, "Technical Support", "production Support", "Data Center", "Data Center Suppoer" Function IT	Role	Technical Support Engineer Industry IT/ Computers - Software	Posted On	2nd May 2015	Job Ref code	Opening for Technica l support		NULL	NULL	NULL	NULL	NULL
	Name	Aditech IT & Consultancy Services Private Limited	Locations	Chennai	Experience	4 - 8 years	Keywords / Skills	DBA, "Technical Support", "Production support", "Data Center", "Data Center Support" Function IT	Role	Technical Support Engineer Industry IT/ Computers - Software	Posted On	2nd May 2015	Job Ref code	Opening for Technica l support		NULL	NULL	NULL	NULL	NULL
