	Name	A Produle Systems Pvt Ltd	Locations	Coimbatore	Experience	2 - 4 years	Keywords / Skills	reactjs, javascript, html, css, web apps, user interface, ux, web programming, software developer, mobile developer, android, nodejs, angularjs, meteorjs	Education	B.E/B.Tech, M.E/M.Tech/MS Stream • Computers • Computers Function IT	Role	Software Engineer/ Programmer Industry IT/ Computers - Software Salary 5.00 - 10.00 lacs	Posted On	9th Mar 2015	Job Ref code	JAPPDEV	NULL	NULL	NULL	NULL
	Name	Acquia	Locations	Delhi, Noida	Experience	2 - 5 years	Keywords / Skills	"Drupal Developer", "drupal", "PHP" Function IT	Role	Software Engineer/ Programmer Industry • IT/ Computers - Software • Dotcom	Posted On	17th Apr 2015	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
	Name	Acquia	Locations	Delhi, Gurgaon	Experience	2 - 6 years	Keywords / Skills	"testing", "quality analyst", "web testing", "manual testing", "jira", "bugzilla" Function IT	Role	Software Test Engineer Industry • IT/ Computers - Software • Dotcom Salary 3.00 - 8.00 lacs	Posted On	13th Apr 2015	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
	Name	Acredify	Locations	Chandigarh	Nationality	India	Experience	0 - 2 years	Keywords / Skills	Recruiter for US staffing, HR Recruiter, US IT Staffing,	Education	Any graduate, B.A, B.B.A, BCA, B.Com, B.E/B.Tech, B.Ed, B.Sc, M.A, MBA, M.Com, PGDCA, PG Diploma, Stream • Any • Communication Function • Customer Service/ Call Centre/ BPO • Human Resources	Role	• Trainee/ Management Trainee • Customer Service Executive (Voice) • Graduate Trainee / Management Trainee • HR Executive / Recruiter Industry ITES/BPO Salary 1.60 - 3.00 lacs	Posted On	17th Apr 2015	NULL	NULL	NULL	NULL
	Name	Acute HR Consultancy	Locations	Pune	Nationality	India	Experience	1 - 6 years	Keywords / Skills	client relation, Corporate communication	Education	MBA Function • Marketing & Communications • Sales/ Business Development	Role	• Corp Communications - Manager/ Executive • Head - Corp Communications Industry • Banking/ Financial Services • Real Estate • Dotcom	Posted On	13th Apr 2015	Job Ref code	20	NULL	NULL
	Name	Adasoft India Private Limited	Locations	Gurgaon	Experience	2 - 3 years	Keywords / Skills	Unit Testing, System Testing and Integration Testing	Education	B.E/B.Tech, MCA Stream • Computers • Computers Function IT	Role	Trainee Industry IT/ Computers - Software	Posted On	13th Apr 2015	Job Ref code	STE- 4/2015	NULL	NULL	NULL	NULL
	Name	Adeptech Systems India Private Limited	Locations	Bengaluru / Bangalore	Experience	10 - 15 years	Keywords / Skills	"database developer", "db2 developer", "data base developer", "db 2 developer" Function IT	Role	• Software Engineer/ Programmer • Team Leader/ Technical Leader Industry IT/ Computers - Software	Posted On	17th Apr 2015	Job Ref code	DB19022015	NULL	NULL	NULL	NULL	NULL	NULL
	Name	Adeptech Systems India Private Limited	Locations	Gurgaon, Pune	Experience	7 - 10 years	Keywords / Skills	"java", "core java", "j2ee", "webservices", "web services", "webservice", "web service", "corejava", "hibernate" Function IT	Role	Software Engineer/ Programmer Industry IT/ Computers - Software	Posted On	17th Apr 2015	Job Ref code	JAVA15042015	NULL	NULL	NULL	NULL	NULL	NULL
	Name	Adeptech Systems India Private Limited	Locations	Bengaluru / Bangalore, Hyderabad / Secunderabad	Experience	7 - 10 years	Keywords / Skills	"java", "webservices", "webservice", "web services", "web service", "corejava", "core java" Function IT	Role	• Software Engineer/ Programmer • Systems Engineer Industry IT/ Computers - Software	Posted On	14th Apr 2015	Job Ref code	JAVA10042015	NULL	NULL	NULL	NULL	NULL	NULL
	Name	Adeptech Systems India Private Limited	Locations	Hyderabad / Secunderabad	Experience	2 - 5 years	Keywords / Skills	"night shift recruiter", "nightshift recruiting", "nightshift recruiter", "bench sales", "benchsales", "usit staffing", "us it staffing" Function Human Resources	Role	HR Executive / Recruiter Industry IT/ Computers - Software	Posted On	14th Apr 2015	Job Ref code	USIT2732015	NULL	NULL	NULL	NULL	NULL	NULL
